Id. de problema,Descripción,Estado,Gravedad,Puntos de la historia,Ruta de acceso del proyecto,Tipo de ubicación,Ruta de acceso,Línea,Columna,Id. de incidente,Vínculo de ayuda,Nombre del ensamblado,Versión de ensamblado,Clave pública de ensamblado,Fragmento
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,137,12,P:System.Windows.Forms.Form.CancelButton,,,,,CancelButton = cancel;
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,136,12,T:System.Windows.Forms.IButtonControl,,,,,AcceptButton = ok;
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,136,12,P:System.Windows.Forms.Form.AcceptButton,,,,,AcceptButton = ok;
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,129,12,T:System.Windows.Forms.DialogResult,,,,,"var cancel = new Button              {                  Text = ""Cancelar"",                  AutoSize = true,                  DialogResult = DialogResult.Cancel,              };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,129,12,T:System.Windows.Forms.DialogResult,,,,,"var cancel = new Button              {                  Text = ""Cancelar"",                  AutoSize = true,                  DialogResult = DialogResult.Cancel,              };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,129,12,F:System.Windows.Forms.DialogResult.Cancel,,,,,"var cancel = new Button              {                  Text = ""Cancelar"",                  AutoSize = true,                  DialogResult = DialogResult.Cancel,              };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,129,12,T:System.Windows.Forms.DialogResult,,,,,"var cancel = new Button              {                  Text = ""Cancelar"",                  AutoSize = true,                  DialogResult = DialogResult.Cancel,              };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,129,12,P:System.Windows.Forms.Button.DialogResult,,,,,"var cancel = new Button              {                  Text = ""Cancelar"",                  AutoSize = true,                  DialogResult = DialogResult.Cancel,              };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,129,12,P:System.Windows.Forms.ButtonBase.AutoSize,,,,,"var cancel = new Button              {                  Text = ""Cancelar"",                  AutoSize = true,                  DialogResult = DialogResult.Cancel,              };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,129,12,P:System.Windows.Forms.ButtonBase.Text,,,,,"var cancel = new Button              {                  Text = ""Cancelar"",                  AutoSize = true,                  DialogResult = DialogResult.Cancel,              };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,129,12,T:System.Windows.Forms.Button,,,,,"var cancel = new Button              {                  Text = ""Cancelar"",                  AutoSize = true,                  DialogResult = DialogResult.Cancel,              };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,129,12,M:System.Windows.Forms.Button.#ctor,,,,,"var cancel = new Button              {                  Text = ""Cancelar"",                  AutoSize = true,                  DialogResult = DialogResult.Cancel,              };"
